  train: 2489 patients,  28751 images  | KL0=22004  KL1=3275  KL2=3109  KL3=213  KL4=150
  val:  533 patients,   6163 images  | KL0=4737  KL1=670  KL2=679  KL3=38  KL4=39
  test:  534 patients,   6137 images  | KL0=4748  KL1=592  KL2=696  KL3=57  KL4=44

============================================================
Baseline ResNet-18 — pooled — no augmentation
============================================================

  Run 1/3
    [baseline] run=2 ep=20/50  loss=0.3901  val_acc=0.7681  KL3=0.5000  KL4=0.3333  (18s)
    [baseline] run=2 ep=21/50  loss=0.3735  val_acc=0.7521  KL3=0.5263  KL4=0.3846  (17s)
    [baseline] run=2 ep=22/50  loss=0.3659  val_acc=0.7680  KL3=0.3158  KL4=0.3846  (17s)
    [baseline] run=2 ep=23/50  loss=0.3589  val_acc=0.7639  KL3=0.4211  KL4=0.4615  (17s)
    [baseline] run=2 ep=24/50  loss=0.3561  val_acc=0.7949  KL3=0.3158  KL4=0.4103  (17s)
    [baseline] run=2 ep=25/50  loss=0.3451  val_acc=0.7584  KL3=0.4211  KL4=0.4103  (17s)
    [baseline] run=2 ep=26/50  loss=0.3329  val_acc=0.8016  KL3=0.2368  KL4=0.3333  (17s)
    [baseline] run=2 ep=27/50  loss=0.3380  val_acc=0.7534  KL3=0.1579  KL4=0.5385  (17s)
    [baseline] run=2 ep=28/50  loss=0.3282  val_acc=0.7545  KL3=0.1842  KL4=0.4615  (17s)
    [baseline] run=2 ep=29/50  loss=0.3285  val_acc=0.7798  KL3=0.3947  KL4=0.5128  (17s)
    [baseline] run=2 ep=30/50  loss=0.3114  val_acc=0.8012  KL3=0.3421  KL4=0.3333  (17s)
    [baseline] run=2 ep=31/50  loss=0.3036  val_acc=0.7663  KL3=0.2895  KL4=0.4615  (17s)
    [baseline] run=2 ep=32/50  loss=0.2971  val_acc=0.7780  KL3=0.3158  KL4=0.3846  (17s)
    [baseline] run=2 ep=33/50  loss=0.2912  val_acc=0.7527  KL3=0.2368  KL4=0.4359  (17s)
    [baseline] run=2 ep=34/50  loss=0.2836  val_acc=0.7883  KL3=0.3947  KL4=0.4103  (17s)
    [baseline] run=2 ep=35/50  loss=0.2833  val_acc=0.7777  KL3=0.3158  KL4=0.4359  (17s)
    [baseline] run=2 ep=36/50  loss=0.2724  val_acc=0.7986  KL3=0.2368  KL4=0.3846  (17s)
    [baseline] run=2 ep=37/50  loss=0.2587  val_acc=0.7808  KL3=0.1579  KL4=0.4872  (17s)
    [baseline] run=2 ep=38/50  loss=0.2541  val_acc=0.7717  KL3=0.3947  KL4=0.3590  (17s)
    [baseline] run=2 ep=39/50  loss=0.2605  val_acc=0.7720  KL3=0.1579  KL4=0.6154  (17s)
    [baseline] run=2 ep=40/50  loss=0.3406  val_acc=0.7691  KL3=0.5263  KL4=0.2564  (17s)
    [baseline] run=2 ep=41/50  loss=0.3015  val_acc=0.7704  KL3=0.2895  KL4=0.4615  (17s)
    [baseline] run=2 ep=42/50  loss=0.2680  val_acc=0.8040  KL3=0.2368  KL4=0.4872  (15s)
    [baseline] run=2 ep=43/50  loss=0.2641  val_acc=0.7693  KL3=0.1053  KL4=0.4359  (15s)
    [baseline] run=2 ep=44/50  loss=0.2781  val_acc=0.7767  KL3=0.3421  KL4=0.4359  (16s)
    [baseline] run=2 ep=45/50  loss=0.2317  val_acc=0.7642  KL3=0.1842  KL4=0.5128  (16s)
    [baseline] run=2 ep=46/50  loss=0.2215  val_acc=0.7790  KL3=0.2632  KL4=0.4359  (16s)
    [baseline] run=2 ep=47/50  loss=0.2076  val_acc=0.7879  KL3=0.2105  KL4=0.4872  (16s)
    [baseline] run=2 ep=48/50  loss=0.1990  val_acc=0.7767  KL3=0.2895  KL4=0.4103  (16s)
    [baseline] run=2 ep=49/50  loss=0.1983  val_acc=0.7952  KL3=0.2105  KL4=0.4359  (16s)
    [baseline] run=2 ep=50/50  loss=0.1941  val_acc=0.8098  KL3=0.2895  KL4=0.3590  (16s)
  Test → acc=0.7875  macroF1=0.5833  KL3=0.5439  KL4=0.5455

  Run 3/3
    [baseline] run=3 ep=1/50  loss=1.3382  val_acc=0.6409  KL3=0.0526  KL4=0.9487  (16s)
    [baseline] run=3 ep=2/50  loss=0.9047  val_acc=0.7096  KL3=0.7895  KL4=0.3077  (16s)
    [baseline] run=3 ep=3/50  loss=0.8383  val_acc=0.6597  KL3=0.5000  KL4=0.8462  (16s)
    [baseline] run=3 ep=4/50  loss=0.7485  val_acc=0.6995  KL3=0.4474  KL4=0.8462  (16s)
    [baseline] run=3 ep=5/50  loss=0.7451  val_acc=0.7657  KL3=0.2895  KL4=0.5641  (16s)
    [baseline] run=3 ep=6/50  loss=0.6973  val_acc=0.7412  KL3=0.4737  KL4=0.2051  (16s)
    [baseline] run=3 ep=7/50  loss=0.6613  val_acc=0.7586  KL3=0.5789  KL4=0.6410  (16s)
    [baseline] run=3 ep=8/50  loss=0.5970  val_acc=0.7479  KL3=0.3684  KL4=0.3846  (16s)
    [baseline] run=3 ep=9/50  loss=0.6005  val_acc=0.7157  KL3=0.2105  KL4=0.7949  (16s)
    [baseline] run=3 ep=10/50  loss=0.5781  val_acc=0.7475  KL3=0.3421  KL4=0.4359  (16s)
    [baseline] run=3 ep=11/50  loss=0.5633  val_acc=0.6982  KL3=0.6579  KL4=0.4103  (16s)
    [baseline] run=3 ep=12/50  loss=0.5144  val_acc=0.7543  KL3=0.2368  KL4=0.8205  (16s)
    [baseline] run=3 ep=13/50  loss=0.5004  val_acc=0.6797  KL3=0.2632  KL4=0.7949  (14s)
    [baseline] run=3 ep=14/50  loss=0.4875  val_acc=0.7564  KL3=0.3947  KL4=0.1282  (14s)
    [baseline] run=3 ep=15/50  loss=0.4801  val_acc=0.7159  KL3=0.6842  KL4=0.3846  (16s)
    [baseline] run=3 ep=16/50  loss=0.4296  val_acc=0.7633  KL3=0.4211  KL4=0.5385  (16s)
    [baseline] run=3 ep=17/50  loss=0.4015  val_acc=0.7616  KL3=0.3158  KL4=0.5128  (16s)
    [baseline] run=3 ep=18/50  loss=0.4095  val_acc=0.7600  KL3=0.3684  KL4=0.1795  (16s)
    [baseline] run=3 ep=19/50  loss=0.4810  val_acc=0.6919  KL3=0.5789  KL4=0.3590  (16s)
    [baseline] run=3 ep=20/50  loss=0.4260  val_acc=0.6680  KL3=0.6842  KL4=0.2308  (16s)
    [baseline] run=3 ep=21/50  loss=0.4056  val_acc=0.7251  KL3=0.3947  KL4=0.5897  (16s)
    [baseline] run=3 ep=22/50  loss=0.3688  val_acc=0.7672  KL3=0.4211  KL4=0.4103  (16s)
    [baseline] run=3 ep=23/50  loss=0.3656  val_acc=0.7639  KL3=0.3421  KL4=0.5897  (16s)
    [baseline] run=3 ep=24/50  loss=0.3719  val_acc=0.7530  KL3=0.2895  KL4=0.4103  (16s)
    [baseline] run=3 ep=25/50  loss=0.3966  val_acc=0.7706  KL3=0.1579  KL4=0.6923  (16s)
    [baseline] run=3 ep=26/50  loss=0.3688  val_acc=0.7769  KL3=0.4211  KL4=0.5641  (16s)
    [baseline] run=3 ep=27/50  loss=0.3771  val_acc=0.7629  KL3=0.1842  KL4=0.6410  (16s)
    [baseline] run=3 ep=28/50  loss=0.4408  val_acc=0.7667  KL3=0.4474  KL4=0.1795  (16s)
    [baseline] run=3 ep=29/50  loss=0.3524  val_acc=0.7519  KL3=0.4211  KL4=0.4615  (16s)
    [baseline] run=3 ep=30/50  loss=0.3407  val_acc=0.7732  KL3=0.3947  KL4=0.3590  (16s)
    [baseline] run=3 ep=31/50  loss=0.3275  val_acc=0.7735  KL3=0.3684  KL4=0.5641  (16s)
    [baseline] run=3 ep=32/50  loss=0.3314  val_acc=0.7587  KL3=0.4211  KL4=0.4359  (16s)
    [baseline] run=3 ep=33/50  loss=0.3024  val_acc=0.7253  KL3=0.5263  KL4=0.4359  (16s)
    [baseline] run=3 ep=34/50  loss=0.3327  val_acc=0.7641  KL3=0.3684  KL4=0.5385  (16s)
    [baseline] run=3 ep=35/50  loss=0.3075  val_acc=0.7323  KL3=0.5000  KL4=0.2821  (16s)
    [baseline] run=3 ep=36/50  loss=0.2973  val_acc=0.7699  KL3=0.4211  KL4=0.3846  (13s)
    [baseline] run=3 ep=37/50  loss=0.2829  val_acc=0.7354  KL3=0.3421  KL4=0.5385  (16s)
    [baseline] run=3 ep=38/50  loss=0.2677  val_acc=0.7724  KL3=0.2632  KL4=0.5641  (16s)
    [baseline] run=3 ep=39/50  loss=0.2598  val_acc=0.7694  KL3=0.3684  KL4=0.3077  (16s)
    [baseline] run=3 ep=40/50  loss=0.2477  val_acc=0.7680  KL3=0.3684  KL4=0.3333  (16s)
    [baseline] run=3 ep=41/50  loss=0.2503  val_acc=0.7724  KL3=0.3947  KL4=0.4615  (16s)
    [baseline] run=3 ep=42/50  loss=0.2509  val_acc=0.7887  KL3=0.2368  KL4=0.5641  (16s)
    [baseline] run=3 ep=43/50  loss=0.2294  val_acc=0.7714  KL3=0.3421  KL4=0.3333  (16s)
    [baseline] run=3 ep=44/50  loss=0.2243  val_acc=0.7766  KL3=0.3947  KL4=0.2308  (16s)
    [baseline] run=3 ep=45/50  loss=0.2166  val_acc=0.7605  KL3=0.3158  KL4=0.3333  (16s)
    [baseline] run=3 ep=46/50  loss=0.2142  val_acc=0.7999  KL3=0.3684  KL4=0.3077  (16s)
    [baseline] run=3 ep=47/50  loss=0.2077  val_acc=0.7652  KL3=0.2895  KL4=0.3077  (16s)
    [baseline] run=3 ep=48/50  loss=0.2040  val_acc=0.7848  KL3=0.3421  KL4=0.3590  (16s)
    [baseline] run=3 ep=49/50  loss=0.1936  val_acc=0.7803  KL3=0.3684  KL4=0.2821  (16s)
    [baseline] run=3 ep=50/50  loss=0.1815  val_acc=0.7764  KL3=0.3421  KL4=0.3333  (16s)
  Test → acc=0.7751  macroF1=0.6183  KL3=0.4912  KL4=0.6818

  mean ± std across runs:
    accuracy            : 0.7641 ± 0.0249
    macro_f1            : 0.6047 ± 0.0153
    recall_0            : 0.8102 ± 0.0428
    recall_1            : 0.5923 ± 0.0340
    recall_2            : 0.6221 ± 0.0657
    recall_3            : 0.5146 ± 0.0219
    recall_4            : 0.6667 ± 0.0934

  Saved to outputs/results/baseline_results.json
