  Training baseline on joint group: dip
  train: 2453 patients,   9220 images  | KL0=5870  KL1=1246  KL2=1827  KL3=154  KL4=123
  val:  525 patients,   1985 images  | KL0=1319  KL1=253  KL2=350  KL3=35  KL4=28
  test:  527 patients,   1987 images  | KL0=1298  KL1=275  KL2=368  KL3=26  KL4=20

============================================================
Baseline ResNet-18 — dip — no augmentation
============================================================

  Run 1/3
    [baseline_dip] run=2 ep=30/50  loss=0.6686  val_acc=0.7229  KL3=0.6571  KL4=0.4643  (9s)
    [baseline_dip] run=2 ep=31/50  loss=0.5640  val_acc=0.7068  KL3=0.4000  KL4=0.6071  (8s)
    [baseline_dip] run=2 ep=32/50  loss=0.4850  val_acc=0.6977  KL3=0.1143  KL4=0.8214  (9s)
    [baseline_dip] run=2 ep=33/50  loss=0.4220  val_acc=0.7577  KL3=0.4571  KL4=0.6429  (9s)
    [baseline_dip] run=2 ep=34/50  loss=0.4077  val_acc=0.6826  KL3=0.5143  KL4=0.6071  (9s)
    [baseline_dip] run=2 ep=35/50  loss=0.4470  val_acc=0.7033  KL3=0.4286  KL4=0.5714  (9s)
    [baseline_dip] run=2 ep=36/50  loss=0.3844  val_acc=0.7244  KL3=0.4571  KL4=0.6786  (8s)
    [baseline_dip] run=2 ep=37/50  loss=0.3895  val_acc=0.7224  KL3=0.5429  KL4=0.5714  (9s)
    [baseline_dip] run=2 ep=38/50  loss=0.4034  val_acc=0.7496  KL3=0.4571  KL4=0.5714  (9s)
    [baseline_dip] run=2 ep=39/50  loss=0.3636  val_acc=0.7249  KL3=0.2571  KL4=0.6071  (9s)
    [baseline_dip] run=2 ep=40/50  loss=0.3817  val_acc=0.7058  KL3=0.2857  KL4=0.6786  (9s)
    [baseline_dip] run=2 ep=41/50  loss=0.4149  val_acc=0.7023  KL3=0.3429  KL4=0.6071  (8s)
    [baseline_dip] run=2 ep=42/50  loss=0.3761  val_acc=0.7013  KL3=0.4286  KL4=0.6071  (9s)
    [baseline_dip] run=2 ep=43/50  loss=0.3704  val_acc=0.6811  KL3=0.3714  KL4=0.6071  (8s)
    [baseline_dip] run=2 ep=44/50  loss=0.4473  val_acc=0.7083  KL3=0.6286  KL4=0.3571  (9s)
    [baseline_dip] run=2 ep=45/50  loss=0.3655  val_acc=0.7365  KL3=0.5429  KL4=0.5714  (9s)
    [baseline_dip] run=2 ep=46/50  loss=0.3596  val_acc=0.7411  KL3=0.2286  KL4=0.6429  (8s)
    [baseline_dip] run=2 ep=47/50  loss=0.3737  val_acc=0.7375  KL3=0.2286  KL4=0.7500  (9s)
    [baseline_dip] run=2 ep=48/50  loss=0.3389  val_acc=0.7496  KL3=0.2000  KL4=0.7143  (8s)
    [baseline_dip] run=2 ep=49/50  loss=0.3529  val_acc=0.7486  KL3=0.2571  KL4=0.5714  (9s)
    [baseline_dip] run=2 ep=50/50  loss=0.3307  val_acc=0.7305  KL3=0.3429  KL4=0.6071  (9s)
  Test → acc=0.7524  macroF1=0.6068  KL3=0.6538  KL4=0.6500

  Run 3/3
    [baseline_dip] run=3 ep=1/50  loss=1.5070  val_acc=0.5844  KL3=0.0000  KL4=0.7500  (9s)
    [baseline_dip] run=3 ep=2/50  loss=1.1048  val_acc=0.6504  KL3=0.2286  KL4=0.7500  (9s)
    [baseline_dip] run=3 ep=3/50  loss=0.9214  val_acc=0.6650  KL3=0.3143  KL4=0.8214  (8s)
    [baseline_dip] run=3 ep=4/50  loss=0.8681  val_acc=0.6544  KL3=0.6286  KL4=0.4286  (9s)
    [baseline_dip] run=3 ep=5/50  loss=0.8034  val_acc=0.6625  KL3=0.6000  KL4=0.5000  (8s)
    [baseline_dip] run=3 ep=6/50  loss=0.8047  val_acc=0.6151  KL3=0.3143  KL4=0.8571  (9s)
    [baseline_dip] run=3 ep=7/50  loss=0.7995  val_acc=0.6962  KL3=0.5714  KL4=0.6429  (9s)
    [baseline_dip] run=3 ep=8/50  loss=0.7056  val_acc=0.6640  KL3=0.5714  KL4=0.6786  (9s)
    [baseline_dip] run=3 ep=9/50  loss=0.6989  val_acc=0.6725  KL3=0.6286  KL4=0.5357  (9s)
    [baseline_dip] run=3 ep=10/50  loss=0.6420  val_acc=0.7199  KL3=0.8286  KL4=0.0000  (8s)
    [baseline_dip] run=3 ep=11/50  loss=0.6657  val_acc=0.6831  KL3=0.5143  KL4=0.6786  (9s)
    [baseline_dip] run=3 ep=12/50  loss=0.5958  val_acc=0.7264  KL3=0.7429  KL4=0.2857  (9s)
    [baseline_dip] run=3 ep=13/50  loss=0.5657  val_acc=0.6594  KL3=0.6286  KL4=0.5357  (9s)
    [baseline_dip] run=3 ep=14/50  loss=0.5422  val_acc=0.6937  KL3=0.8286  KL4=0.3571  (9s)
    [baseline_dip] run=3 ep=15/50  loss=0.5761  val_acc=0.7390  KL3=0.7429  KL4=0.3929  (8s)
    [baseline_dip] run=3 ep=16/50  loss=0.6087  val_acc=0.7486  KL3=0.4000  KL4=0.6071  (9s)
    [baseline_dip] run=3 ep=17/50  loss=0.5254  val_acc=0.6942  KL3=0.6857  KL4=0.2500  (8s)
